Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-02,2016,5,2,Monday,18,2016-18,24.76,26.09,24.41,25.97,870900,25.97,0.03796957786609623,24.388571428571428,23.7134
2016-05-03,2016,5,3,Tuesday,18,2016-18,26.06,26.44,25.31,25.72,1659100,25.72,-0.009626492360800487,24.61642857142857,23.811
2016-05-04,2016,5,4,Wednesday,18,2016-18,29.7,30.5,28.61,29.05,3426300,29.05,0.12947122910602227,25.075714285714287,23.956799999999998
2016-05-05,2016,5,5,Thursday,18,2016-18,29.48,29.48,27.3,27.49,1474600,27.49,-0.053700499377370425,25.4,24.086199999999998
2016-05-06,2016,5,6,Friday,18,2016-18,26.99,27.66,26.95,27.41,820300,27.41,-0.0029101463940390815,25.727857142857143,24.1884
2016-05-09,2016,5,9,Monday,19,2016-19,27.44,27.65,26.85,27.3,548300,27.3,-0.004013156182558264,26.021428571428572,24.2874
2016-05-10,2016,5,10,Tuesday,19,2016-19,27.51,28.39,27.34,27.85,476100,27.85,0.02014656262929626,26.280714285714286,24.3814
2016-05-11,2016,5,11,Wednesday,19,2016-19,27.69,28.32,27.57,28.0,448600,28.0,0.005385982638265174,26.530714285714286,24.4802
2016-05-12,2016,5,12,Thursday,19,2016-19,28.0,28.59,27.95,28.36,558100,28.36,0.012857164655412978,26.722857142857144,24.565800000000003
2016-05-13,2016,5,13,Friday,19,2016-19,28.42,29.0,28.11,28.23,728800,28.23,-0.004583958579598257,26.91214285714286,24.637600000000003
2016-05-16,2016,5,16,Monday,20,2016-20,28.38,29.08,27.95,29.0,618000,29.0,0.027275964231300742,27.139285714285716,24.722400000000004
2016-05-17,2016,5,17,Tuesday,20,2016-20,29.11,29.58,28.51,28.57,914700,28.57,-0.0148275967301994,27.357142857142858,24.7892
2016-05-18,2016,5,18,Wednesday,20,2016-20,28.5,29.29,26.77,29.04,2017600,29.04,0.016450865443595752,27.643571428571427,24.8582
2016-05-19,2016,5,19,Thursday,20,2016-20,29.03,29.78,27.21,27.76,1138000,27.76,-0.04407715724144856,27.839285714285715,24.9364
2016-05-20,2016,5,20,Friday,20,2016-20,27.79,28.43,27.43,28.3,690000,28.3,0.019452413678905156,28.005714285714284,25.0354
2016-05-23,2016,5,23,Monday,21,2016-21,28.49,28.86,28.18,28.29,278500,28.29,-0.00035329759020308327,28.189285714285713,25.121199999999998
2016-05-24,2016,5,24,Tuesday,21,2016-21,28.34,29.28,28.34,29.04,473000,29.04,0.026511133818604815,28.188571428571432,25.222800000000003
2016-05-25,2016,5,25,Wednesday,21,2016-21,29.2,29.5,28.61,29.17,423300,29.17,0.0044765549816871975,28.30857142857143,25.343399999999995
2016-05-26,2016,5,26,Thursday,21,2016-21,29.01,29.3,28.35,28.78,418000,28.78,-0.013369879623873704,28.40642857142857,25.444200000000002
2016-05-27,2016,5,27,Friday,21,2016-21,28.49,29.9,28.49,29.18,430100,29.18,0.013898527066953159,28.540714285714284,25.5646
2016-05-31,2016,5,31,Tuesday,22,2016-22,28.99,29.46,28.93,29.24,517500,29.24,0.0020561845549995628,28.640000000000004,25.6814
2016-06-01,2016,6,1,Wednesday,22,2016-22,29.18,29.18,28.31,28.91,763400,28.91,-0.011285907191832867,28.705000000000002,25.7804
2016-06-02,2016,6,2,Thursday,22,2016-22,28.95,29.7,28.77,29.65,453800,29.65,0.02559667156775869,28.797142857142855,25.882199999999997
2016-06-03,2016,6,3,Friday,22,2016-22,29.39,29.87,28.82,29.74,344000,29.74,0.003035418338813267,28.904999999999998,26.002799999999997
2016-06-06,2016,6,6,Monday,23,2016-23,29.88,31.04,29.86,30.78,1194000,30.78,0.03496976878047375,29.032142857142855,26.1356
2016-06-07,2016,6,7,Tuesday,23,2016-23,33.4,33.72,32.21,32.4,3205100,32.4,0.05263160503879605,29.305714285714284,26.301
2016-06-08,2016,6,8,Wednesday,23,2016-23,32.19,33.03,32.0,32.84,651200,32.84,0.013580203888494902,29.57714285714286,26.456
2016-06-09,2016,6,9,Thursday,23,2016-23,32.64,32.86,32.19,32.68,415700,32.68,-0.004872102517316845,29.928571428571427,26.610799999999998
2016-06-10,2016,6,10,Friday,23,2016-23,32.15,32.86,32.15,32.46,808000,32.46,-0.006731983434782318,30.225714285714286,26.749000000000002
2016-06-13,2016,6,13,Monday,24,2016-24,33.0,33.19,32.11,32.62,1253900,32.62,0.004929138999533844,30.535,26.9056
2016-06-14,2016,6,14,Tuesday,24,2016-24,32.46,33.11,32.21,32.83,763400,32.83,0.0064378573282126705,30.805714285714284,27.086600000000004
