Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-03-19,2018,3,19,Monday,11,2018-11,273.35,274.4,268.62,270.49,109208400,248.39,-0.013530479590021294,250.3292857142857,251.1254
2018-03-20,2018,3,20,Tuesday,11,2018-11,270.94,271.67,270.18,270.95,59757300,248.81,0.0017006325279205203,250.3542857142857,251.1
2018-03-21,2018,3,21,Wednesday,11,2018-11,270.9,273.27,270.19,270.43,78709600,248.34,-0.001919315642578856,250.60357142857143,251.05599999999998
2018-03-22,2018,3,22,Thursday,11,2018-11,267.91,268.87,263.36,263.67,148785900,242.13,-0.024996872510758217,250.31928571428574,250.8764
2018-03-23,2018,3,23,Friday,11,2018-11,264.17,264.54,257.83,258.05,183534800,236.97,-0.021314690105897927,249.46285714285713,250.60139999999998
2018-03-26,2018,3,26,Monday,12,2018-12,262.13,265.43,259.41,265.11,141956100,243.45,0.02735894464804689,249.02428571428572,250.41940000000002
2018-03-27,2018,3,27,Tuesday,12,2018-12,266.17,266.77,258.84,260.6,129941400,239.31,-0.01701160943408564,248.29642857142858,250.1216
2018-03-28,2018,3,28,Wednesday,12,2018-12,260.75,262.64,258.58,259.83,146452300,238.6,-0.0029548343664924648,247.43214285714285,249.827
2018-03-29,2018,3,29,Thursday,12,2018-12,261.12,265.26,259.84,263.15,111601600,241.65,0.012777553702541855,246.47357142857143,249.5452
2018-04-02,2018,4,2,Monday,13,2018-13,262.55,263.13,254.67,257.47,186286300,236.44,-0.021584635844119404,245.1657142857143,249.16780000000003
2018-04-03,2018,4,3,Tuesday,13,2018-13,258.87,261.31,256.84,260.77,119956900,239.47,0.012817101481057414,244.19214285714287,248.8278
2018-04-04,2018,4,4,Wednesday,13,2018-13,256.75,264.36,256.6,263.56,123715300,242.03,0.01069908328071656,243.49428571428572,248.49720000000002
2018-04-05,2018,4,5,Thursday,13,2018-13,265.55,266.64,264.32,265.64,82652600,243.94,0.007892084456355475,242.9521428571429,248.19379999999998
2018-04-06,2018,4,6,Friday,13,2018-13,263.42,265.11,258.0,259.72,179521200,238.5,-0.022286052779892374,242.00214285714287,247.78359999999998
2018-04-09,2018,4,9,Monday,14,2018-14,261.37,264.84,259.94,261.0,105442900,239.68,0.0049285089499444545,241.38000000000002,247.3948
2018-04-10,2018,4,10,Tuesday,14,2018-14,264.27,266.04,262.98,265.15,103529000,243.49,0.015900279121030092,241.0,247.02219999999997
2018-04-11,2018,4,11,Wednesday,14,2018-14,263.47,265.64,263.39,263.76,91140200,242.21,-0.00524218511717256,240.56214285714285,246.6588
2018-04-12,2018,4,12,Thursday,14,2018-14,265.26,267.0,265.06,265.93,68890500,244.21,0.008227042768929937,240.71071428571426,246.38879999999997
2018-04-13,2018,4,13,Friday,14,2018-14,267.41,267.54,264.01,265.15,85079200,243.49,-0.002933101577777708,241.1764285714286,246.10179999999997
