Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-04-18,2018,4,18,Wednesday,15,2018-15,48.06,48.93,47.61,48.45,847900,48.45,-0.019032165181722904,52.08214285714286,51.344800000000006
2018-04-19,2018,4,19,Thursday,15,2018-15,48.09,48.11,46.44,46.48,1105600,46.48,-0.040660499271034545,51.545,51.398
2018-04-20,2018,4,20,Friday,15,2018-15,46.63,47.45,46.28,46.7,1169100,46.7,0.004733244898232236,51.09214285714285,51.437
2018-04-23,2018,4,23,Monday,16,2018-16,48.46,48.46,47.05,47.69,921600,47.69,0.021199097378927334,50.682142857142864,51.463
2018-04-24,2018,4,24,Tuesday,16,2018-16,48.17,48.69,47.31,47.5,699000,47.5,-0.003984035063540059,50.25571428571429,51.513999999999996
2018-04-25,2018,4,25,Wednesday,16,2018-16,47.44,47.97,46.64,47.34,437200,47.34,-0.003368417840254989,49.85357142857142,51.57640000000001
2018-04-26,2018,4,26,Thursday,16,2018-16,47.54,47.99,47.21,47.26,327300,47.26,-0.0016899415039464127,49.46857142857142,51.626400000000004
2018-04-27,2018,4,27,Friday,16,2018-16,47.6,47.62,46.27,47.26,406200,47.26,0.0,49.13214285714285,51.629000000000005
2018-04-30,2018,4,30,Monday,17,2018-17,47.27,48.79,47.26,48.37,451600,48.37,0.023487106427716675,48.74928571428571,51.648599999999995
2018-05-01,2018,5,1,Tuesday,17,2018-17,48.24,49.76,48.24,49.56,536800,49.56,0.0246020770660349,48.47428571428571,51.7006
2018-05-02,2018,5,2,Wednesday,17,2018-17,49.68,51.29,49.52,50.74,664600,50.74,0.023809529307473154,48.25785714285714,51.76599999999999
2018-05-03,2018,5,3,Thursday,17,2018-17,50.43,51.52,50.28,51.47,474600,51.47,0.014387061846435234,48.37428571428571,51.8406
2018-05-04,2018,5,4,Friday,17,2018-17,51.3,53.17,50.86,53.0,920000,53.0,0.029726029590251057,48.65785714285715,51.9446
2018-05-07,2018,5,7,Monday,18,2018-18,53.09,55.74,53.09,55.6,1022900,55.6,0.04905657498341687,49.10142857142857,52.1166
2018-05-08,2018,5,8,Tuesday,18,2018-18,50.95,56.56,50.87,54.5,2368100,54.5,-0.01978414576095866,49.53357142857142,52.2754
2018-05-09,2018,5,9,Wednesday,18,2018-18,54.32,56.24,54.11,55.74,836400,55.74,0.022752324375537647,50.195,52.4542
2018-05-10,2018,5,10,Thursday,18,2018-18,55.73,56.7,54.15,54.64,905100,54.64,-0.01973452198949799,50.762142857142855,52.596199999999996
2018-05-11,2018,5,11,Friday,18,2018-18,54.82,55.16,54.04,54.25,342000,54.25,-0.00713761702058735,51.23071428571428,52.7252
2018-05-14,2018,5,14,Monday,19,2018-19,54.38,55.19,53.72,53.94,409900,53.94,-0.005714311028405805,51.690714285714286,52.8216
2018-05-15,2018,5,15,Tuesday,19,2018-19,53.85,53.85,51.42,51.58,641400,51.58,-0.04375225909786584,51.993571428571435,52.82899999999999
2018-05-16,2018,5,16,Wednesday,19,2018-19,51.58,53.2,51.28,52.77,850700,52.77,0.02307093029206775,52.38714285714286,52.833400000000005
2018-05-17,2018,5,17,Thursday,19,2018-19,53.07,53.12,51.8,52.09,637500,52.09,-0.012886115203278092,52.732142857142854,52.8022
2018-05-18,2018,5,18,Friday,19,2018-19,52.0,52.11,51.06,51.66,481300,51.66,-0.008254949201692785,52.96714285714286,52.7624
2018-05-21,2018,5,21,Monday,20,2018-20,51.98,52.38,51.56,51.82,311300,51.82,0.003097170884334144,53.128571428571426,52.696400000000004
2018-05-22,2018,5,22,Tuesday,20,2018-20,52.21,52.26,51.0,51.69,349200,51.69,-0.002508704532628858,53.19642857142857,52.5946
2018-05-23,2018,5,23,Wednesday,20,2018-20,51.69,54.66,51.58,54.53,1086100,54.53,0.05494293341150169,53.415,52.5422
2018-05-24,2018,5,24,Thursday,20,2018-20,54.35,56.46,54.35,55.88,885800,55.88,0.024757057015209583,53.62071428571428,52.49
2018-05-25,2018,5,25,Friday,20,2018-20,55.86,56.39,55.3,56.08,429600,56.08,0.0035791116520498267,53.65500000000001,52.451800000000006
2018-05-29,2018,5,29,Tuesday,21,2018-21,55.64,56.3,54.24,54.79,479600,54.79,-0.02300286864136647,53.675714285714285,52.3796
